ItemID,Sentiment,SentimentText
positive542,positive, Chinese for dinner and working on a cool website template. So proud of myself.
positive543,negative, chop my hand off please! Advil isn't working
positive544,positive,-- choppin it up w/ @auchboogie  i love you
positive545,negative, Cleveland @MsJBell Congrats Orlando
positive546,negative, clouds are rolling in....
positive547,negative, coco doesnt tweet anymore. viva la hole woman. dont let us down...again....
positive548,negative, come back
positive549,negative, computer overheatedd. I think i smell burning laptop...
positive55negative,negative," computers not working , help help help"
positive55positive,positive, concert later tonight!
positive552,positive," cool. Ew, I bought The Things They Carried on amazon &amp; it came like shit! &gt;=/ I cost me $positivenegative &amp; its $positive4 new &gt;=/"
positive553,positive, could be
positive554,negative, could not get to sync facebook and twitter
positive555,negative, Could Not Sleep If My Life Depended On It ):
positive556,negative, couldn't find anything I wanted at Fry's that was within my budget.
positive557,negative," couples in public, slow love songs...  Im soo lonely "
positive558,negative," Covered in bug bites, man this blows.....  "
positive559,negative, coz he's 
positive56negative,negative, cramps suck your mothers balls! *mentally screams* OUCH!
positive56positive,negative, i hate this .. Goodnight.
positive562,negative, i hate this part.
positive563,negative, i hate thunder... i woke up really scared just now cus of it.
positive564,negative," i hate when porn ppl follow me, what. time to delete stuff~"
positive565,negative, I have a brace and it hurts!!!!! now I am a braceface!!!!!
positive566,positive, i have a buzz
positive567,negative, i have a headache!!!
positive568,negative, i have already seen all the episodes of forensic files they are playing tonight.
positive569,negative, i have been having the worst cramps lately.
positive57negative,positive," I have finally seen Clerks, from beginning to end and no TV swear-word editing (poor Jay! xD). I feel somehow fulfilled."
positive57positive,negative, I have one big swollen ear...antibiotics again!
positive572,negative," I have such a problem with insomnia, went to bed at midnight and woke up at 3 am...."
positive573,negative, i have the cold 
positive574,negative," i have to go into school tomorrow to sing, and babysit before that. when will i find time for the sims 3?! i'm going to cry!"
positive575,negative, I have to go to work.
positive576,negative, i have to piss.
positive577,negative, I have to wait till next Tuesday to see star trek cause no one will go with me till then.  Friends suck.
positive578,negative," i havent actually seen my bestfriend in maybe a month... My fault, i been so busy... And i miss her!"
positive579,positive, I haven't been on Twitter all day thought I'd make some late twitters.
positive58negative,negative," i haven't checked it for a while, but sushi's memorial site seems down, can anyone else see it? http://cli.gs/sushi"
positive58positive,positive, i hope everyone has a great day!
positive582,negative, i hope i dont have any weird brain problem or disease  i think ill be fine though. the nurse doesnt sound too worried.
positive583,negative, i hope justice isnt mad at me
positive584,negative, I hope the RAPE GHOST doesn't get me.
positive585,positive, I hope you find a great trousers
positive586,negative, I is to drunk to know if in a partht or what nor
positive587,negative," i just ate some bad fruit, i think"
positive588,negative, I just busted my ass in the kitchen and I'm wearin flats....grr stupid floor
positive589,negative, i just got dumped by my boyfrnd  love  makayla
positive59negative,positive, I just got to my 5negativenegative tweet...... Do i get a prize? *sidebar* Cassidy...... Your NASTY! Why i gots to hear about your wide peen for? Smh
positive59positive,negative, i just had a bug crawling on my leg. it scared me. but now its in a water bottle i found on my floor. hopefully it doesnt find a way out!
positive592,negative, I just heard David Eddings died earlier this month
positive593,negative, I just hit my face on a box at work n scratched my cheek lol
positive594,negative, I just made a $positivek principal payment on my student loans because I realized my monthly payments only go to interest. ):
positive595,negative, i just need my snuggle buddy backkk
positive596,negative, i just poked myself in the face with a Goose feather from my pillow...
positive597,negative, I just restarted my iPod. I should've written down all my apps first.
positive598,positive,- I just saw one of the new Camaros &quot;in the wild&quot; for the first time! Cool. 
positive599,negative, i just sneezed with a strepsil in my mouth and nearly choked (n)
positive6negativenegative,negative," I just waited so long for the finale of gossip girl to download, opened it up and it was the wrong one! They posted the wrong link! D:"
positive6negativepositive,negative, I just wanna curl up and go back to bed!
positive6negative2,negative, I just wanna swim some laps but all the lanes are taken! This sucks.
positive6negative3,negative, can't get it off my mind... &lt;/3
positive6negative4,negative, can't get my free haircut today... next week i guess
positive6negative5,negative," Can't get my hands on a copy of Cap #6negativenegative until at least Thursday. Actively avoiding spoilers, bought Deadpool to cheer me up instead"
positive6negative6,negative, can't hear the reds game in the tunnel.
positive6negative7,negative, can't sleep again
positive6negative8,negative, Can't sleep and have an exam tomorrow Oh No!
positive6negative9,negative, Can't sleep.  Watching Royal Pains.  Impressed. - http://royalpains.usanetwork.com/
positive6positivenegative,negative," can't sleep. But oh well, half my headache is gone."
positive6positivepositive,negative, can't sleep. Have to be up at 6 in the am. Boo!  Go to sleep flor!!
positive6positive2,positive, can't wait to come home!
positive6positive3,positive, cant wait to see eric and lauras house 
positive6positive4,negative, Cardinals lost...AGAIN!
positive6positive5,negative,=-- Catching up on last weeks Greys... I miss when it was awesome
positive6positive6,positive,- Catching up on some work! looking forward to going out 2night 
positive6positive7,negative," Cavs fizzled, tribe burnt by Yankees. Not a happy day for Cleveland. #fb"
positive6positive8,negative, Cavs lost!!!!! WHY!!!! Magic will lose easily though
positive6positive9,negative, cheer up shan.
positive62negative,negative, chili's doesn't do the awesome blossom any more.
positive62positive,negative, Class is boring
positive622,negative, cleansed my face &amp;was reminded y I'm a winter not a summer ! I hate the sun . My face is so sore ! My everything is so sore ! 
positive623,positive,--- click on my name &amp; go look at my profile 
positive624,negative," Climate Progress, MIT doubles its 2negative95 warming projection to positivenegative�F � with 866 ppm and Arctic warming of 2negative�F ( http://bit.ly/kdlvw )"
positive625,negative," clouds rolling in, hard to believe I got a little sunburned today.."
positive626,negative,- Clumsy 'ol me left an awful scratch scar on my nose while attempting to adjust the googles and freestyling at the same time. 
positive627,positive, cocoa pebbles at midnight. xD
positive628,negative," college is over, I have now cleared and handed in my student card  uni to look forward to and enjoying the summer months"
positive629,negative, Collingwood are playing shiteeeeeeeee atm. Comeee on boysssss!
positive63negative,negative, Columbus Crew
positive63positive,negative, come on AppStore Approval. its been almost positive8 hrs :p lol
positive632,negative, comfort foods shall be the death of me - there is dire need of eating less chocolate cake n getting more beauty sleep!
positive633,negative, company is offering 2nd round of VSS RIF!
positive634,positive, Completo. Just as the bell rings
positive635,negative, confused....
positive636,positive, coolness  http://yfrog.com/negative6atmfj
positive637,negative, couldnt go with ashley
positive638,negative, cousin not coming because of her senior project which isnt due for another fing 2 weeks &amp; its just an art project..ridiculous!!!
positive639,positive, cracker night! Dinner at tgi Fridays and the cinema  it's gonna be good to awake up without a hangover 2mrw tattoo 2mrw?!
positive64negative,negative, craig's a cokehead
positive64positive,negative," crap day - feel sick and my phone has the battery life of, well, um, something with a miniscule life..."
positive642,positive," Currently getting dressed for ballet. Yes I am sitting here in a leotard, so what? Hahaa, I'm freezing..."
positive643,positive, da baby sleep now my gosh now its time 4 me 2 get sum rest b4 she gets up around positivenegativeam =(
positive644,negative, dad is leaving and wont be back til the wedding.
positive645,negative, dad left for turkey already
positive646,negative," daddy passed away june positive3, 2negativenegative9"
positive647,negative," dag just when i decide to throw that freak em dress on, my most expensive get em heels &amp; my fox lashes.. didda sys zzzz.. wtf"
positive648,negative, cramps. FUCK YOU. ugh asdfghjkl; in so much pain right now. I should go eat a banana. http://tumblr.com/xzrpositivewz7ez
positive649,positive, CUBASE IS WORKING OH MY GOD
positive65negative,negative,=- curiousity killed the cat... so much for wishing for the dream job...
positive65positive,negative,-- currently at tajur. Boo boo I'm hungweey 
positive652,positive, Currently enjoying the tonight show... I've missed my Conan&lt;3
positive653,negative, cuz frankie is going swimming....
positive654,negative, D: :S &gt;.&lt; ?????????? WHAT??? ;_;&lt;/3
positive655,negative, dads in the hosptal (stupid bees)
positive656,negative," Dammit, my card didn't have enough money on it after all, which is why the DT deluxe box set was rejected. Now I have to get it again."
positive657,negative,=- Damn I have A Cold.
positive658,negative, damn it twitter UPDATE ME!!!
positive659,negative, damn thuderstorms woke me up.. wish my bebe was here with me. I love you RICHARD
positive66negative,positive, Dancing no more tonight. I'm EXHAUSTED. 
positive66positive,negative, dang i feel like shit and those &quot;Above the Influence&quot; commercials really grind my gears.
positive662,negative,-- Daniel Powter Bad day http://bit.ly/ezAuU   i m NOT at COLDPLAY 2-nite in NASH...
positive663,negative," darn i just found out im getting one of my tooth pulled out tomorrow, its gonna hurt so bad im guessing.(("
positive664,negative,-- darn. I forgot to bring a fork to work today...now I'm eating my salad with coffee sticks. 
positive665,negative, David Eddings is dead. I hope he died believing he'd gotten that one story finally told.
positive666,negative, David Tennant is dating again. I thought he was saving himself for me. When will I meet some tall dark Scotsman to romance me?
positive667,negative," Dear all, had to restore my computer and I have lost everything. Show delayed until I can get things back together."
positive668,negative, def feelin a way. Jus found out a guy my lil brother grew up wit died. Niggas shot him at a party. positive9 n gone.. Smh.. Stop the violence
positive669,negative," demi is going on tour, taylor is going tour, miley is going on tour, &amp; jonas brothers are going on tour, with the guy i think i &lt;3. : ..."
positive67negative,positive, Demi lovato is comming to london so is miley YAY! you lot will see me there trustttt mee still want to know what time itunes gig starts
positive67positive,negative," dentist later, I'm hoping it's my teeth plates and nothing as NASTY as last time..."
positive672,positive," designing away for #f3s - homepage, match stats, league tables, private games and more - previews coming soon (:"
positive673,negative, did God give up on us?!
positive674,negative, did I miss the hov track. smh I see mad twits about the hov shit.
positive675,negative, did you guys hear about the airplane crash? Scary.
positive676,negative, Didn't bring connector for camera on trip...saving new photos will have to wait another week...
positive677,negative, Didnt calld Dad
positive678,negative, Didn't do so well on the job today. Made $78. But I learned some valuable skills at the field manager meeting today!
positive679,negative, didn't get an award but i did get recognized by all the seniors. They said that they are going to watch the plays because of me 
positive68negative,negative, didn't get my halo-halo but instead have an udon soup to go.
positive68positive,negative," didn't get to meet bachmann, but her young texan intern filled my quest for crazy..."
positive682,negative, didnt sticth today cos was reading on wattpad LOL
positive683,negative, did't have proper food from morning on...  Liquid diet... Citrus in breakfast &amp; apple shake in lunch... missing home food
positive684,negative, i just want my compositions back. i was going to work on a waltz/lullaby. stupid gremlins.
positive685,negative," I just woke up but I wanna go back to sleep, someone keep me up lol."
positive686,negative, I keep getting errors on iPhone and it saves okay online but I see nothing
positive687,negative, I know I know
positive688,negative, i know it could've been a lot worse. But a broken ankle is still enough to worry me.
positive689,negative, I like the emo boy in hollyoaks /sad
positive69negative,negative, I look like a freakshow!! The beautician waxed my eyebrows into oblivion!!
positive69positive,negative, i look so beautiful today lol(in my dreams) and yet there is nobody around who wants to do anything 
positive692,negative, i lost my negative2positive charger last night 
positive693,negative, i lost my book while i was sleeping. who does that?!
positive694,negative, I lost two kids at Youth Group tonight. No joke.
positive695,positive, I love Dirk and his 44 points from tonight. Now if he could only realize he was meant to be with me..
positive696,negative," I love him, and now, we're not even friends&lt;\3"
positive697,positive, i love my friends. And cant wait for church tomorrow!!!!!! Im up. Up. Up. Right now. This happens frequently.
positive698,positive, i love my momma &lt;3
positive699,positive, i LOVE shortsTack! (Especially Shaun!!hehe) But(bradie &amp;andy r gorgeous too!!!
positive7negativenegative,positive, I love talking to you. Even if its simple words.
positive7negativepositive,positive, I love the download fest.
positive7negative2,positive,"=- I love you, what do you say?"
positive7negative3,positive, i loved the new calf
positive7negative4,negative, I make nonsense jokes that make pain to others....
positive7negative5,negative," i may have diabites i cant spell it but yeah , fuck !! ttoally scared now , my body if fucked , soo fuckign annoying !!"
positive7negative6,negative," I may not get to keep my engagement ring.. may have to switch it... not fair, bc I want THAT ring.. oh well. ily Sparkle Puff."
positive7negative7,negative, i miss bby V....want to see her NOW!
positive7negative8,negative, I miss Direct TV...I could be watching the Cake Boss now or already watched it...
positive7negative9,negative, i miss guild wars... i still haven't touched the most recent one. it's just sitting on my desk. skylar alanine will get some action soon
positive7positivenegative,positive, I miss kelli. But I'm glad she's having fun  fun saturday night  goodnight. I miss jeffy.
positive7positivepositive,negative, i miss my boys....
positive7positive2,negative, I miss my brycey alreadt... oside bound.
positive7positive3,negative, I miss my cell phone 
positive7positive4,negative, I miss my friends
positive7positive5,negative, i miss my leddy boo...
positive7positive6,negative, i miss the days when i was the starfish to his sponge
positive7positive7,negative, I miss us! Miss the old times with the guyz 
positive7positive8,negative, I miss you.Where are you? D:
positive7positive9,negative, I need a hug
positive72negative,negative, I need a money
positive72positive,negative, I need a new Ipod!! This freaking thing won't Sync anymore!!! Anywho......Hoping the Magics make a run for the W!!!
positive722,negative," I NEED A PHONE....MISSIN DA CRACKBERRY RITE NOW, SOMEBODY HELP ME PLEASE!!"
positive723,negative," i need followers-If you want Satellite TV on your pc, check this site  See http://bit.ly/SuSvGu"
positive724,negative, I need ktv!
positive725,negative, I need my car fixed
positive726,negative, I need someone to comfort me
positive727,negative," I need study a lot, tommorow 2 tests: in music and physics, oh, and also art homework! Hmm... I think, that I will make optical illusion!"
positive728,negative, I need you more than you need me...and this hurts Paige.
positive729,negative, i neva knew gettin an internship was this unpredictable
positive73negative,negative, did't have proper food from morning on... Liquid diet... Citrus in breakfast &amp; apple shake in lunch...
positive73positive,negative, Diego makes Tori sad that she FAILS ! Anti-depressant pills ftw. NOT!
positive732,positive, Disneyland was great! ... Got to go and pick up the kitties in a minute ... ?
positive733,positive, Dodgers are doing good today. ^3  6-negative Dodgers 2 outs
positive734,negative,- doesn`t have a phone. 
positive735,negative, Doing my Chem positive6 Pre-lab. (
positive736,positive," done with benjamin button, what a beautiful movie. Sleeping, dreaming of my wife. Hopefully go over her house early tomorrow&lt;3"
positive737,negative, don't feel like cooking...
positive738,negative, dont get to see my boys tomorroww.im sad
positive739,negative," dont let me down, mighty tkt booking portal..."
positive74negative,negative,"- don't you hate it when you iPhone battery dies on you, and the nearest charge is positive5 miles away "
positive74positive,negative, DOU GUYZ EVEN C ME HERE!?!?!?!?
positive742,negative," down, nite."
positive743,positive, dreams do come true.
positive744,negative, driving to school without justin texting me.. What a lonely morning
positive745,negative, dumb kyle i @him but doesnt have me on his updates
positive746,positive, eatin cereal
positive747,positive, eating food! hahaha
positive748,positive, eeep i love her. so glad she's around.... hannahh! you said you'd text you never didd!
positive749,negative, ehhh startin to think this is not for me
positive75negative,negative, Either my Video Card died or my DVI cord went down the drain...
positive75positive,negative, English tomorrow. *breaks down*
positive752,negative," english, bummer..."
positive753,positive, enjoying my last days of summer &gt;sigh&lt;
positive754,negative, equals sad. In case you were wondering.
positive755,positive,"-- err y am i still awake ? my birthday is june 24th woo hoo  , than BET awards june 28, than vegas july 2-5!"
positive756,negative, eurgh  silly sick. silly cold. silly tired. needs her stuff back!
positive757,negative, even the hoff can't bandaid the scar left by diversity winning and not the father son dancey team.
positive758,negative, Every boy...Ive never met anyone as cold as them  Well some boys
positive759,negative," every number, bbm pin, and text message is gone from my phone...its empty. I'm about to cry...smh http://myloc.me/5dMB"
positive76negative,negative, Everybody Hates Vinde.
positive76positive,negative, everyone from home is going to the beach today &amp; I'm stuck in philly
positive762,negative, everyone hates canada! No @Mileycyrus and no @mitchelmusso who wants to road trip to fargo to see @mitchelmusso cause i sure am!
positive763,negative, everyones going on holiday and im left on my loansome for like the 5 year in a row :'( tis crap to be soo skint stuck in shitty scotland
positive764,negative, exams how i hate exams in the summer ! its not fun not at all !! BEACH i miss you !&lt;3
positive765,positive,- excited for toms shopping ! 
positive766,positive, faster faster show on positive6th in Brunswick
positive767,negative, fed up and upset. i need some good nosh down me and a cuddle from a lovely boy with messy hair please. i need a night out too..
positive768,positive, Feddy won! Woop woop! Must compose myself now in preparation pour le finale d'Apprentice later. WAY too much excitement for one day!
positive769,negative, feeling a little under the weather today.
positive77negative,positive, Feels like a giggly school girl!
positive77positive,negative, Fifa ticketing just times out. Seems like my 2negativepositivenegative ticket chances are getting less and less...
positive772,negative," film not on till 7:45, will have to hold out for 2 hours, i'll fix some tea and then go to pops for an hour"
positive773,negative, damn it.
positive774,negative,- damn watchin Spidey Man 3  ::tears:: it touched my soul lol
positive775,negative, damn wendy's commerical got that damn song in my head.
positive776,positive, damn you mobbing deep
positive777,negative," Damn, I missed Kindergarden Cop on showtime, I'll have to catch the replay later. &lt;3 that movie"
positive778,negative," damn, Kayley doesn't get to meet Robin."
positive779,negative, Damn. This kinda sucks more than i thought it would. Probably not gonna sleep.
positive78negative,negative, damn...I miss you...
positive78positive,positive, dance flick was hilariouss!!!
positive782,negative," dancin todayyy , dont wanna , and its lush weather in flippin wales, and im spending it inside :'("
positive783,negative,- dark angel is so cool. its unfair. i'm gonna go cut myself now 
positive784,negative, David must be hospitalized for five days end of July (palatine tonsils).
positive785,positive, dear driay LOL emo kid god this so brings back merions ha year 6
positive786,negative, dear GOD...
positive787,negative, Delivery from Aussie Farmers didn't work. The pity of living in a big apartment complex. Wished I had a house to use their services.
positive788,positive, Design with humor. Escape key on the run!-- http://ow.ly/3dfT
positive789,positive," despite my last tweet, I'm having a fantasticly sunny day (="
positive79negative,negative, destiney is out. though megan is still my favourite
positive79positive,negative, Detroit won the first game with a score of 3-positive. Red Wings lead series positive-negative. ! 
positive792,negative," devistated, You'll forever be in my heart Joshua. Shine on soldier. I can't believe this."
positive793,negative, did not win my w and y tix...i am determined... excited for tonight yardhouse with my favesss... ONE WEEK!!!!!!
positive794,negative, dident die from the tornado ohh well lol♥
positive795,negative, didn't realize this was happing. sighed and it went all over. so much angst that i sigh blood. http://tinyurl.com/kt2fm4
positive796,negative, dis aint gud a heatstroke! 
positive797,negative, disappointed the Cavs...
positive798,positive, discussing the importance of ed westwick &amp; chace crawford with mia.
positive799,positive, disneyland fireworks!
positive8negativenegative,positive,"=- do you want love or do you want fame, are you in the game? -Lady GaGa  such addictive beats!Getting ready to avoid wasting the day"
positive8negativepositive,negative, does anypositive know wut time its sposed to rain?
positive8negative2,negative, Does anyone know how to treat a bug bite on a dog?
positive8negative3,negative, does neone know what is the exact procedure of getting a DS 2negativepositive9 issued ..and whether it costs for a summer intern ?
positive8negative4,negative, doesn't have contacts on &amp; can't see ='(
positive8negative5,negative, Doesn't know what to eat! What would you eat on very sensitive stomach after being sick?
positive8negative6,positive, don't ask... and if u do you will regret it alot
positive8negative7,negative, don't feel good
positive8negative8,negative, dont go i got luv for my positivenegativenegativeth follower lol @rashagirl28
positive8negative9,negative, Don't hope. You'll be disappointed
positive8positivenegative,negative, dont know how im goin to go on. i cannot sleep. i keep thinking of her... 
positive8positivepositive,negative, don't know why I bother
positive8positive2,negative, don't make fun of a concerned friend!
positive8positive3,negative, don't wanna think about cheating  my bf is going to Vegas this weekend. I decided not to go! 
positive8positive4,negative,-- don't want to do all the housework tonight! 
positive8positive5,positive, Dream house!
positive8positive6,negative," Dropping my mom off at the airport, then distracting myself from being sad with museum hopping in LA!"
positive8positive7,negative, Dt exam tomo .... Doing revsion now  !
positive8positive8,negative," i never get direct messages.. must not be exciting, hm? xD"
positive8positive9,negative, i no feels good today
positive82negative,positive, I now remember why Ms. Janet Jackson is in my top 3.
positive82positive,negative, I only wanted him to wish me happy birthday.. So much for remembering. Its called facebook these days.
positive822,positive, i oove you. bahaa
positive823,negative,=- I posted too early. San Jose Just scored
positive824,positive, I really hope Peter Facinelli wins his bet......
positive825,negative, I really wanna go home. I HATE working late!
positive826,negative, i really wish i could have kept that kitten.... someone just picked it up. It will have a good home with no mean cat hissing at it 
positive827,negative, i sat on my chocolate truffles.... so much for saving them for to night *tear
positive828,negative, i see how it is
positive829,negative, i should have picked that dog up! Oh no  someone go on the freeway off near bob hope and rescue the cute black dog
positive83negative,negative," I Shouldn't Have Came! Its Not The Same Without My Best Friend @TootsiiePop ...  I'm 4Real Y'all, I Miss My Sista.! I'm Bouta Cry "
positive83positive,negative, I shouldn't miss you. &gt;_&lt;
positive832,negative, I slept for maybe an hour or two...even though i tried so hard to fall asleep cause i need my rest.
positive833,negative, i so don't like going to the dentist
positive834,negative," I Still Cant Find My Phone , And I Cant Call It , Cause Its Dead"
positive835,negative, i swear to cheese &amp; crackers @songzyuuup is in Detroit like every 2 months &amp; i NEVER get to see him!  i swear this blows monkeyballs!
positive836,negative, i think i gain another 4kg
positive837,negative, i think i need a drink
positive838,negative, i think im going to bed now... sooo tired! nitey nite!
positive839,positive," i think its a good day, bang bang, dirty rich"
positive84negative,positive, I think its work time
positive84positive,negative, I think my friend has swine flu... FOR REAL  he's in the hospital.
positive842,negative, i think my trachea is infected again.
positive843,negative, i thnk ima cry i feel rlly bad
positive844,negative, i thought i made some progress... Nope
positive845,negative, i totally know how you feel
positive846,positive, i wanna be like you (Demi)
positive847,negative, i wanna crawl in a ball..
positive848,negative, i wanna vote for Miley Cyrus and I cant!! I wanna live in the united states now!!
positive849,negative, i wanna watch the new ep but of course it's ppv..put it on the pay members page too..please matt!!!
positive85negative,negative, I want all my friends back. (via @Mikejones37) as do I.  Happy for you mike.
positive85positive,negative, I want an unltimate maing room... free astros. XD
positive852,negative, i want baja california starbursts for some odd reason. :/
positive853,negative, i want iphone OS 3.negative...how much longer must i wait? :] me eating french toast. Yum yum yum
positive854,negative, I want my Casanova &amp; Clopin.
positive855,negative, i want summer love! PLEASE LORDDD lol. im so patheticcc.
positive856,negative," I want the ham sandwich now, but diannaaaa is making me play pokemon."
positive857,negative, i want to b happy n content. tell me hw. - http://tweet.sg
positive858,negative, I want to but i can't 
positive859,negative," i want to enter in my old my space , but i forget the password"
positive86negative,negative, i want to get away!
positive86positive,negative, i want to get out of sm riiight now. it is draining my soul
positive862,negative, i want to go home get in bed. eat soup. watch friends season 5. all day. i feel like crap
positive863,positive, I want to go to the Teen Choice Awards!
positive864,negative, I want to move so fucking bad. I hate it here. I wish I never bought concert tickets because now I can't move as soon as I want.
positive865,negative, dude bringing up memories now
positive866,negative, Eden missed a turn and then drifted. It was so damn scary. ((
positive867,negative, ehhh bad day
positive868,positive," elaina and sarah are over, watching movies and what not"
positive869,negative, electricity is out.
positive87negative,negative, Eliminated Me (KQs) SB x (AKo) CO-positive with a king in the flop.
positive87positive,negative," em ch�n c�i tr�nh ?? English c?a th?ng AR47 qu�, v?y m� n� c? ng?i s?a em ho�i huhu"
positive872,negative, Empty Nest...literally @ my fiancee's.  I hope they're still around. They were SO CUTE &amp; I miss them!
positive873,negative, England what the hell :'( :'( #cricket # T2negative
positive874,negative, enough said.
positive875,negative,- eShoot canceled... It's storming and raining in Tampa!  
positive876,negative, europe cruise mite be cancelled; there was a fire that happened on our ship..... My summer is officialy ruined. 
positive877,negative, even Poirot is not making my head feel better.
positive878,negative, even worse than I thought 
positive879,negative," Ever since my brother got married, I feel so alone at home. Even though we seldom communicate but he's presence at home is enough."
positive88negative,negative, everybody has jobs. I am going to be the only one without money.
positive88positive,negative," everybody that has my number and my BBM my phone is not working so will be getting a new phone on thursday.. THIS SUCKS, i love you yall"
positive882,negative, everyone deserves to be forgiven.
positive883,positive, everyone have an AWESOME wknd! yay for sunshine!
positive884,negative, everyones just set to &quot;Away&quot; on msn.. nobody to talk to :\
positive885,positive, Everything went as planned!!! Now I have many many many new souvenirs from #Herschel and #Planck 
positive886,positive, everythings so fucking chilled atm  loving life right this minute. ooo dj am and trvs ayeeeeeeee i think sooo  FIX YOUR FACE positive4 FTW.
positive887,negative, exams suck
positive888,negative, Exams!!!
positive889,positive, excellent morning! trying to take in the fact that theres only positive more week left of school &quot;/
positive89negative,positive, Excited about purchasing my new MacBook Pro - should be here in a few days
positive89positive,positive, Excited. Dont think i will sleep tonight!
positive892,negative, failed my psychology class last semester. I don't know if i want to go back in the fall now. Wow that's depressing and whats even more
positive893,positive," fallen leaves, fallen leaves on the ground "
positive894,negative, fantastic..it's probably cause of the messaging last night/morning..
positive895,negative, Farm Town isn't connecting for me. And I have crops that need to be harvested. #fb
positive896,negative, Farrah Fawcett has passed away 
positive897,negative, Farrah Fawcett... one less charlie's angel but one more angel for god
positive898,positive, FBI: Terrorist Attack On Golden Gate Bridge May Have Been Green-Screened http://bit.ly/hdexD (via @TheOnion)
positive899,negative, fcked thing up for good no 
positive9negativenegative,negative," feel like crying. fucking bitch stealing my family, i want them back."
positive9negativepositive,negative," Feel like shit. Choked on something last night &amp; now throat &amp; chest ache &amp; headache. Chicken noodle soup, sandwich, chips, then bed."
positive9negative2,negative," Feel sorry for him, he's kidless on father's day."
positive9negative3,negative, feeling sad that rapidshare.com acct has bn expired... #fb
positive9negative4,negative, feeling very down this friday morning... i hate when i have time to think... i just get myself down /sigh
positive9negative5,positive,- Figuredd out how to edit profilee  .. &amp; Levi youu dont need to do a 2negativenegative Calorie diet :S
positive9negative6,positive, Final Destination 4 has a release date!! August positivest!!!!
positive9negative7,positive, finally a good mood 
positive9negative8,positive, finally got my FMC tickets in the mail!!!!!!!!! yeeeeeeeeeeee
positive9negative9,positive, finally linked my fone 2 twitter
positive9positivenegative,positive, Finally! I finished a new item in my striped colorful knitted line! Want to see it? =&gt;&gt; http://bit.ly/UZtpT
positive9positivepositive,negative, finally!! lol but  piccckkk mee uppp!!!
positive9positive2,negative, Find it yet?
positive9positive3,negative, fine. I should be anyway. see you at the 4th quarter.
positive9positive4,positive, fingers crossed another enjoyable night cause of someoneeeee
positive9positive5,positive,- finishing up my midterm project for web publishing class &amp; waiting to go over zachs house. 
positive9positive6,negative," Finn fell of the balcony, seems ok, but will know better in a few hours"
positive9positive7,negative,=-- First uni exam tomorrow
positive9positive8,negative, Fix my puter... Its taking a dump.
positive9positive9,positive, flordia- and @stellarkartband- where do u send in the pictures of the shrits? saw ur update on facebook 
positive92negative,negative, Flower died.
positive92positive,positive, follow me
positive922,positive, Follow me on Twitter!  http://bit.ly/PpositiveIpositiveh
positive923,negative, food poisoning ?
positive924,negative, for once cant i be number one
positive925,negative, FORÇA MEADD ! http://meadd.com/adrianoshevchenko/positive5425876
positive926,negative," forgot about my spanish essay. hopefully, i finish before 3 AM."
positive927,positive, Found a place to buy Secret Agent Sam. Now where to get it for free...
positive928,negative, Free Movie was sold out...wtf?
positive929,positive,- FRIDAY! i've caught a cold. How rubbish is that? At least i've got the whole weekend to spend in bed. 
positive93negative,positive," Friday!!! Plus, woke up naturally, no nasty alarm. The world is so much nicer when the sun wakes you up instead of some radio dj "
positive93positive,negative, Friend's emailed me a list of signs you're middle aged woman and I relate to 9negative%... incl. forgetfulness ...so I am now becoming my Mum
positive932,negative," from NCAVP's report: 2negativenegative8, with 29 total murders, has the highest number of deaths since positive999, and an increase of 28% from 2negativenegative7"
positive933,negative, from seeing all my koreans buisnesses failing.
positive934,negative, fuck it
positive935,negative, fuck overtime!
positive936,negative," fuck that, Dev is clearly superior."
positive937,negative, fuckin ugh...
positive938,negative, fxcking tired and sooo cold
positive939,negative, gdocs letting me down. Not saving and not sharing. One more go.
positive94negative,negative, get better friend. It sucks not to be able to taste. So sorry
positive94positive,positive, Getting close to 2K followers!  I feel a chocolate party coming on! You are all invited 
positive942,negative,- Getting 'er done.. positive6 hrs of work behind me. Not sure how many left in front 
positive943,positive, Getting ideas for my room revamp! 
positive944,positive," getting ready for school. after i print out this song, fancy, i know."
positive945,negative, getting ready for work ....  def should have stayed in last night 
positive946,positive,=- getting ready to go on A date
positive947,negative, gettn meds for my baby. he's got a stuffy nose and now a cough. his positivest time getting sick
positive948,negative,- Gig was awesome! Am exahausted and so dont want to revise  Boo Hoo!
positive949,negative, girls are so mean now a days damn
positive95negative,negative, Git version of Gnome Shell broke Compiz. Still get nice clutter effects though.
positive95positive,positive, glad I could help...or not depending on how much $ you spend ;)
positive952,positive, glade you liked it i'll be over in a few minutes
positive953,negative, i want to shop!! - http://tweet.sg
positive954,negative," I want to take pieces of the past and bring them to the present.Things Would Change.A life without you,That wouldn't be the same.. ?"
positive955,negative, I wanted Taj to win
positive956,negative, I wanted the cavs to win it all! Defense wins the game Cavs.... I don't like loosing and I know this is alot of pressure on Bron.
positive957,negative, i wasted more than a roll of film.
positive958,negative, i will txt you when i get back from oc. Maybe we can do something. Ill make you feel better. . Na mean. Lol jk
positive959,negative, i wish he knew how much i miss him...
positive96negative,negative, I wish I could play guitar..... my guitar I got a few christmas`s ago is collecting dust! I need to learn! haha
